symbol,security_id,exchange_segment,week_start,entry_level,level_52,hi_short2,close_1,ema_fast_prev,ema_fast_len,ema_slow_prev,ema_slow_len,ema_slow_2,rsi_len,rsi_avg_gain,rsi_avg_loss,rsi_prev_close,rsi_1,macd_fast,macd_slow,macd_signal,macd_ema_fast,macd_ema_slow,macd_sig,vol_sma_len,vol_sma_sum_prev,g_ema_fast,g_ema_slow,g_ema_slow_2,g_rsi,g_rsi_1,g_hist,prev_daily_close,prev_daily_open,mcap,logic_version
APOLLO,1134,NSE_EQ,2026-09-21,466.5,466.5,466.5,370.70001220703125,374.14921246201084,20,318.82400908871796,50,316.70662120633784,14,11.274678953393705,10.426235854661362,370.70001220703125,51.954855604560535,12,26,9,388.9672894740838,361.69874457158005,33.83478400640342,10,255896114.0,374.14921246201084,318.82400908871796,312.39872819435163,51.954855604560535,62.571846952309706,-6.56623910389964,370.70001220703125,380.20001220703125,13863.78,3
APOLLOHOSP,157,NSE_EQ,2026-09-21,9050.0,9050.0,9050.0,8768.5,8561.843624045001,20,8074.480853232132,50,8046.153541119158,14,80.87140838853404,54.38976083242376,8768.5,59.7890797886165,12,26,9,8721.112394468104,8442.938440836877,314.49772774574706,10,13756390.0,8561.843624045001,8074.480853232132,8013.91491014443,59.7890797886165,61.99905641166722,-36.323774114520006,8768.5,8707.0,128331.97,3
APOLLOPIPE,14361,NSE_EQ,2026-09-21,668.7999877929688,668.7999877929688,668.7999877929688,543.5999755859375,518.7963972526582,20,463.45156623283515,50,460.18020258576973,14,12.653739837713797,9.262934256865867,543.5999755859375,57.7356755094664,12,26,9,544.0536238057033,502.0351069281587,41.21158734168709,10,17018092.0,518.7963972526582,463.45156623283515,456.31408740910473,57.7356755094664,59.943263476775215,0.8069295358574919,543.5999755859375,525.0499877929688,1850.18,3
APOLLOTYRE,163,NSE_EQ,2026-09-21,467.3999938964844,540.5,467.3999938964844,409.29998779296875,429.0216789573316,20,441.64171315493445,50,442.9617835778718,14,4.527332106625157,6.271682450122038,409.29998779296875,41.92356703322057,12,26,9,427.1807840780918,431.5180753023953,-5.16042117557965,10,36074651.0,429.0216789573316,441.64171315493445,443.9949178505815,41.92356703322057,44.37436064343671,0.823129951276151,409.29998779296875,414.75,25846.23,3
APOLSINHOT,6302,NSE_EQ,2026-09-21,1440.0,1443.0,1440.0,1214.9000244140625,1214.8744646099622,20,1244.5570488117,50,1245.7675396034404,14,15.847817285628723,16.017230465398264,1214.9000244140625,49.73417083650207,12,26,9,1216.4120608248077,1216.5489566289195,-1.4251516027551256,10,44539.0,1214.8744646099622,1244.5570488117,1246.5458085190144,49.73417083650207,51.08541435135899,1.2882557986432526,1214.9000244140625,1212.0999755859375,316.69,3
APTECHT,10755,NSE_EQ,2026-09-21,128.47999572753906,131.0,128.47999572753906,86.97000122070312,94.35160406709524,20,102.97816793519985,50,103.63156249497523,14,1.3386715856043772,2.002120063467234,86.97000122070312,40.07049005813898,12,26,9,92.68209382706154,95.39581967427627,-1.5011876800184152,10,2492604.0,94.35160406709524,102.97816793519985,104.26142231320922,40.07049005813898,41.15273324620518,-1.2125381671963171,86.97000122070312,86.37999725341797,552.85,3
APTUS,5435,NSE_EQ,2026-09-21,309.0,332.0,309.0,237.67999267578125,260.02038242682835,20,269.9090077998933,50,271.2244778049591,14,3.996402006791708,5.849342090785271,237.67999267578125,40.59014704409406,12,26,9,257.64282947669165,261.48741614004655,-0.9935207373769599,10,54700305.0,260.02038242682835,269.9090077998933,272.12710952718794,40.59014704409406,44.260301304853336,-2.8510659259779434,237.67999267578125,239.1999969482422,11920.15,3
AQYLON,23365,NSE_EQ,2026-09-21,66.9800033569336,1714.9000244140625,80.0999984741211,17.979999542236328,62.83090039743086,20,259.2338217739033,50,269.08091655886926,14,5.057923733449817,11.95985309528602,17.979999542236328,29.721412992730748,12,26,9,30.807824877410777,100.79061488792628,-91.46388503593155,10,167575934.0,62.83090039743086,259.2338217739033,279.1968723461244,29.721412992730748,30.133738099632197,21.481095025416053,17.979999542236328,19.18000030517578,472.38,3
ARCHIDPLY,16795,NSE_EQ,2026-09-21,124.77999877929688,124.77999877929688,124.77999877929688,104.80000305175781,90.98763273132778,20,89.36108022704121,50,88.73092011174667,14,2.2290401597601184,1.054371817879837,104.80000305175781,67.88792192207035,12,26,9,94.86625344447485,89.66565850149101,2.334488669745973,10,2000961.0,90.98763273132778,89.36108022704121,88.19095770469661,67.88792192207035,65.77331125660967,2.866106273237868,104.80000305175781,102.23999786376953,210.4,3
ARCHIES,5688,NSE_EQ,2026-09-21,16.770000457763672,24.3799991607666,16.770000457763672,12.210000038146973,13.82074513968993,20,15.579345364842665,50,15.716869663891467,14,0.15774941000174417,0.31266424002615906,12.210000038146973,33.5341905985056,12,26,9,13.352380477947138,14.165718721151057,-0.7334841304508267,10,586203.0,13.82074513968993,15.579345364842665,15.860823544850984,33.5341905985056,33.331725018041865,-0.0798541127530924,12.210000038146973,12.40999984741211,42.25,3
