symbol,mcap_cr,updated
CCHHL,209.16,2026-08-31
CCL,14867.95,2026-08-31
CDSL,29091.04,2026-08-31
CEATLTD,12843.74,2026-08-31
CEIGALL,5808.28,2026-08-31
CEINSYS,1304.61,2026-08-31
CELEBRITY,35.22,2026-08-31
CELLO,7938.73,2026-08-31
CEMPRO,21359.79,2026-08-31
CENTENKA,1191.83,2026-08-31
CENTEXT,177.80,2026-08-31
CENTRALBK,27341.67,2026-08-31
CENTRUM,1072.28,2026-08-31
CENTUM,5121.61,2026-08-31
CENTURYPLY,16659.74,2026-08-31
CERA,7409.64,2026-08-31
CESC,19411.65,2026-08-31
CEWATER,556.58,2026-08-31
CGCL,24628.83,2026-08-31
CGPOWER,139486.06,2026-08-31
CGVAK,77.16,2026-08-31
CHALET,19892.03,2026-08-31
CHAMBLFERT,16489.51,2026-08-31
CHEMBOND,231.98,2026-08-31
CHEMBONDCH,707.83,2026-08-31
CHEMCON,738.78,2026-08-31
CHEMCRUX,122.88,2026-08-31
CHEMFAB,527.01,2026-08-31
CHEMPLASTS,2784.47,2026-08-31
CHENNPETRO,20271.11,2026-08-31
CHEVIOT,664.44,2026-08-31
CHOICEIN,15025.47,2026-08-31
CHOLAFIN,156634.03,2026-08-31
CHOLAHLDNG,27879.32,2026-08-31
CIEINDIA,14943.15,2026-08-31
CIFL,799.37,2026-08-31
CINELINE,304.14,2026-08-31
CINEVISTA,83.23,2026-08-31
CIPLA,114400.14,2026-08-31
CLCIND,0.50,2026-08-31
CLEAN,8764.26,2026-08-31
CLEANMAX,14948.86,2026-08-31
CLEDUCATE,333.68,2026-08-31
CLSEL,1497.80,2026-08-31
CMPDI,16675.83,2026-08-31
CMRGREEN,5054.49,2026-08-31
CMSINFO,4053.26,2026-08-31
CNL,2128.43,2026-08-31
COALINDIA,246915.92,2026-08-31
COASTCORP,274.10,2026-08-31
COCHINSHIP,39578.57,2026-08-31
COCKERILL,4063.47,2026-08-31
COFFEEDAY,627.55,2026-08-31
COFORGE,83320.61,2026-08-31
COHANCE,17444.89,2026-08-31
COLPAL,49927.53,2026-08-31
COMFINTE,189.17,2026-08-31
COMPEAU,217.37,2026-08-31
COMPUSOFT,104.50,2026-08-31
COMSYN,1192.28,2026-08-31
CONCOR,38783.09,2026-08-31
CONCORDBIO,15269.78,2026-08-31
CONFIPET,2733.79,2026-08-31
CONSOFINVT,859.83,2026-08-31
CONTROLPR,963.39,2026-08-31
CORALFINAC,132.87,2026-08-31
CORDELIA,743.13,2026-08-31
CORDSCABLE,384.34,2026-08-31
COROMANDEL,55782.91,2026-08-31
CORONA,12513.77,2026-08-31
COSMOFIRST,2413.54,2026-08-31
COUNCODOS,50.13,2026-08-31
CPCAP,216.40,2026-08-31
CPEDU,334.87,2026-08-31
CPL,381.12,2026-08-31
CPPLUS,41875.95,2026-08-31
CRAFTSMAN,27643.16,2026-08-31
CRAMC,5182.52,2026-08-31
CRAVATEX,80.37,2026-08-31
CREATIVEYE,12.02,2026-08-31
CREDITACC,21924.53,2026-08-31
CREST,1029.17,2026-08-31
CRISIL,35039.46,2026-08-31
CRIZAC,2922.21,2026-08-31
CROMPTON,15033.94,2026-08-31
CROWN,122.08,2026-08-31
CRSL,114.36,2026-08-31
CSBBANK,5940.89,2026-08-31
CSLFINANCE,550.15,2026-08-31
CSM,495.34,2026-08-31
CTE,91.33,2026-08-31
CUB,22702.65,2026-08-31
CUBEXTUB,111.24,2026-08-31
CUMMINSIND,142262.40,2026-08-31
CUPID,37474.30,2026-08-31
CURAA,69.50,2026-08-31
CYBERMEDIA,39.16,2026-08-31
CYBERTECH,414.98,2026-08-31
CYIENT,12739.54,2026-08-31
CYIENTDLM,6639.51,2026-08-31
DABUR,68137.51,2026-08-31
DAICHI,253.16,2026-08-31
DALBHARAT,34068.90,2026-08-31
DALMIASUG,3983.58,2026-08-31
DAMCAPITAL,906.56,2026-08-31
DAMODARIND,63.61,2026-08-31
DANGEE,42.66,2026-08-31
DATAMATICS,4633.74,2026-08-31
DATAPATTNS,25430.03,2026-08-31
DAVANGERE,300.30,2026-08-31
DBCORP,3547.66,2026-08-31
DBEIL,303.80,2026-08-31
DBL,6570.08,2026-08-31
DBOL,848.08,2026-08-31
DBREALTY,5656.66,2026-08-31
DBSTOCKBRO,100.09,2026-08-31
DCAL,2770.52,2026-08-31
DCBBANK,6970.87,2026-08-31
DCI,603.96,2026-08-31
DCM,149.16,2026-08-31
DCMFINSERV,11.60,2026-08-31
DCMNVL,357.57,2026-08-31
DCMSHRIRAM,15921.40,2026-08-31
DCMSIL,624.01,2026-08-31
DCMSRIND,425.92,2026-08-31
DCW,1346.46,2026-08-31
DCXINDIA,1745.66,2026-08-31
DDEVPLSTIK,2865.52,2026-08-31
DECCANCE,801.10,2026-08-31
DEEDEV,4062.13,2026-08-31
DEEP,88.96,2026-08-31
DEEPAKFERT,18013.58,2026-08-31
DEEPAKNTR,23881.38,2026-08-31
DEEPINDS,4366.53,2026-08-31
DELHIVERY,34458.48,2026-08-31
DELPHIFX,161.41,2026-08-31
DELTACORP,1577.58,2026-08-31
DELTAMAGNT,62.60,2026-08-31
DEN,1350.49,2026-08-31
DENORA,441.57,2026-08-31
DENTA,731.87,2026-08-31
DEVIT,141.61,2026-08-31
DEVX,269.45,2026-08-31
DEVYANI,16820.86,2026-08-31
DGCONTENT,149.14,2026-08-31
DHABRIYA,593.07,2026-08-31
DHAMPURSUG,1173.54,2026-08-31
DHANBANK,1274.36,2026-08-31
DHANUKA,4396.17,2026-08-31
DHARMAJ,916.85,2026-08-31
DHATRE,45.52,2026-08-31
DHOOTTRANS,30355.95,2026-08-31
DHRUV,45.26,2026-08-31
DHUNINV,609.18,2026-08-31
DIACABS,18289.86,2026-08-31
DIAMINESQ,245.94,2026-08-31
DIAMONDYD,2763.36,2026-08-31
DICIND,527.27,2026-08-31
DIFFNKG,1756.63,2026-08-31
DIGIDRIVE,69.61,2026-08-31
DIGISPICE,417.32,2026-08-31
DIGITIDE,1416.07,2026-08-31
DIGJAMLMTD,96.55,2026-08-31
DISHTV,525.18,2026-08-31
DIVGIITTS,3632.18,2026-08-31
DIVISLAB,244784.62,2026-08-31
DIXON,82668.88,2026-08-31
DJML,246.66,2026-08-31
DLF,165470.03,2026-08-31
DLINKINDIA,1558.45,2026-08-31
DMART,247738.32,2026-08-31
DMCC,740.10,2026-08-31
DNAMEDIA,32.07,2026-08-31
DODLA,6544.00,2026-08-31
DOLATALGO,1272.81,2026-08-31
DOLLAR,1531.34,2026-08-31
DOLPHIN,2377.66,2026-08-31
DOMS,13812.86,2026-08-31
DONEAR,439.31,2026-08-31
DPABHUSHAN,3378.40,2026-08-31
DPSCLTD,701.13,2026-08-31
DPWIRES,243.04,2026-08-31
DRAGARWQ,2506.09,2026-08-31
DRCSYSTEMS,187.28,2026-08-31
DREAMFOLKS,358.16,2026-08-31
DREDGECORP,2767.07,2026-08-31
DRREDDY,97695.05,2026-08-31
DSFCL,232.85,2026-08-31
DSKULKARNI,18.29,2026-08-31
DSSL,1330.92,2026-08-31
DTIL,170.02,2026-08-31
DUCON,56.67,2026-08-31
DVL,956.53,2026-08-31
DWARKESH,976.86,2026-08-31
DYCL,2390.13,2026-08-31
DYNAMATECH,8061.48,2026-08-31
DYNPRO,289.23,2026-08-31
E2E,12713.51,2026-08-31
EASEMYTRIP,2074.96,2026-08-31
EASTSILK,31.85,2026-08-31
EASTWEST,32.58,2026-08-31
EBGNG,7020.65,2026-08-31
EBIX,368.32,2026-08-31
ECLERX,18542.30,2026-08-31
ECORECO,907.95,2026-08-31
ECOSMOBLTY,685.13,2026-08-31
EDELWEISS,10732.12,2026-08-31
EFCIL,2829.33,2026-08-31
EICHERMOT,218608.20,2026-08-31
EIDPARRY,14386.68,2026-08-31
EIEL,3456.54,2026-08-31
EIFFL,735.92,2026-08-31
EIHAHOTELS,1838.81,2026-08-31
EIHOTEL,17849.76,2026-08-31
EIMCOELECO,1270.43,2026-08-31
EKC,1207.78,2026-08-31
EKI,205.19,2026-08-31
ELANTAS,9211.54,2026-08-31
ELDEHSG,779.63,2026-08-31
ELECON,9370.66,2026-08-31
ELECTCAST,5107.06,2026-08-31
ELECTHERM,1266.69,2026-08-31
ELGIEQUIP,19728.45,2026-08-31
ELGIRUBCO,298.05,2026-08-31
ELIN,480.55,2026-08-31
ELLEN,4444.62,2026-08-31
ELPROINTL,2947.14,2026-08-31
EMAMILTD,15910.80,2026-08-31
EMAMIPAP,707.85,2026-08-31
EMAMIREAL,304.21,2026-08-31
EMBDL,8666.99,2026-08-31
EMCURE,35015.86,2026-08-31
EMIL,6973.99,2026-08-31
EMKAY,694.89,2026-08-31
EMMBI,173.86,2026-08-31
EMMVEE,22290.75,2026-08-31
EMPIND,727.44,2026-08-31
EMPOWER,264.17,2026-08-31
EMSLIMITED,2090.73,2026-08-31
EMUDHRA,4518.53,2026-08-31
ENDURANCE,40430.64,2026-08-31
ENERGYDEV,77.42,2026-08-31
ENGINERSIN,14483.04,2026-08-31
ENIL,486.32,2026-08-31
ENKEIWHEL,719.00,2026-08-31
ENRIN,115203.82,2026-08-31
ENTERO,7701.61,2026-08-31
EPACK,1812.70,2026-08-31
EPACKPEB,2230.52,2026-08-31
EPIGRAL,5264.22,2026-08-31
EPL,8349.92,2026-08-31
EQUIPPP,223.84,2026-08-31
EQUITASBNK,8404.86,2026-08-31
ERIS,18013.44,2026-08-31
ESABINDIA,9448.66,2026-08-31
ESAFSFB,2258.77,2026-08-31
ESCORTS,32994.13,2026-08-31
ESSARSHPNG,347.78,2026-08-31
ESSENTIA,139.59,2026-08-31
ESTER,893.59,2026-08-31
ETERNAL,296516.00,2026-08-31
ETHOSLTD,7740.41,2026-08-31
EUREKAFORB,8245.07,2026-08-31
EUROBOND,371.98,2026-08-31
EUROPRATIK,2689.53,2026-08-31
EUROTEXIND,12.26,2026-08-31
EVEREADY,2415.01,2026-08-31
EVERESTIND,687.97,2026-08-31
EXCELINDUS,1308.34,2026-08-31
EXCELSOFT,778.49,2026-08-31
EXICOM,2239.60,2026-08-31
EXIDEIND,37632.99,2026-08-31
EXPLEOSOL,1335.01,2026-08-31
EXXARO,291.02,2026-08-31
FABTECH,653.81,2026-08-31
FACT,53378.85,2026-08-31
FAIRCHEMOR,850.23,2026-08-31
FAZE3Q,1184.39,2026-08-31
FCL,4783.79,2026-08-31
FCSSOFT,256.43,2026-08-31
FDC,5547.00,2026-08-31
FEDDERSHOL,898.11,2026-08-31
FEDERALBNK,85483.22,2026-08-31
FEDFINA,5930.88,2026-08-31
FERMENTA,1463.55,2026-08-31
FIBERWEB,75.40,2026-08-31
FIEMIND,5389.28,2026-08-31
FILATEX,3375.03,2026-08-31
FILATFASH,158.26,2026-08-31
FINCABLES,19091.67,2026-08-31
FINEORG,16138.10,2026-08-31
FINKURVE,997.15,2026-08-31
FINOPB,1171.42,2026-08-31
FINPIPE,9848.72,2026-08-31
FIRSTCRY,8920.17,2026-08-31
FISCHER,2266.56,2026-08-31
FIVESTAR,15841.52,2026-08-31
FLAIR,2614.41,2026-08-31
FLEXITUFF,8.30,2026-08-31
FLUOROCHEM,51961.38,2026-08-31
FMGOETZE,3448.15,2026-08-31
FMNL,63.63,2026-08-31
FOCUS,429.38,2026-08-31
FOODSIN,390.31,2026-08-31
FORCEMOT,23090.86,2026-08-31
FORTIS,69061.42,2026-08-31
FOSECOIND,4855.71,2026-08-31
FRACTAL,14786.63,2026-08-31
FREDUN,2146.52,2026-08-31
FSL,18365.05,2026-08-31
FUSION,2754.30,2026-08-31
GABRIEL,25406.40,2026-08-31
GAEL,8114.43,2026-08-31
GAIL,112921.42,2026-08-31
GAJA,2152.38,2026-08-31
GALAPREC,1308.15,2026-08-31
GALAXYSURF,7980.75,2026-08-31
GALLANTT,13753.51,2026-08-31
GANDHAR,2519.34,2026-08-31
GANDHITUBE,1094.99,2026-08-31
GANECOS,2732.64,2026-08-31
GANESHBE,836.48,2026-08-31
GANESHCP,697.53,2026-08-31
GANESHHOU,6598.39,2026-08-31
GANGAFORGE,32.81,2026-08-31
GANGESSECU,118.14,2026-08-31
