model,model_label,horizon,symbol,week,signal_date,signal_time,signal_close,entry,qty,invested,bar_low,stop,level_26w,trigger,rsi,macd_hist,exit_date,exit_time,exit,exit_reason,exit_note,bars_held,gross_pnl,costs,pnl,pnl_pct,r_multiple,mfe_pct,mae_pct,btst_tier,btst_day_ret,btst_rank,btst_source,btst_arm,btst_age
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,RPGLIFE,2026-07-20,2026-07-20,11:25,3003.3,3003.3,33,99108.9,2979.5,2978.9041,2993.8,cross,77.30753780436643,95.10982128549352,2026-07-20,14:30,3004.80165,BE,,37,49.55444999999008,218.094089895,-168.53963989500994,-0.1700000000000055,0.0615533757721461,2.007791429427619,-0.0765824259980729,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,SAREGAMA,2026-07-20,2026-07-20,09:40,513.9,513.9,194,99696.6,508.4,508.29832,509.9,cross,72.37947194635058,14.33681391039811,2026-07-20,09:45,508.29832,SL,,1,-1086.7259199999976,218.137121488,-1304.8630414879976,-1.3100330803658264,-1.0,0.6032302004280954,-1.799961081922552,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,SRGHFL,2026-07-20,2026-07-24,11:45,326.0,326.0,306,99756.0,324.0,323.9352,325.05,cross,66.67661650631453,5.174310629021756,2026-07-24,11:50,323.9352,SL,,1,-631.8287999999973,218.76818832000004,-850.5969883199973,-0.8533742331288361,-1.0,0.0,-0.720858895705534,,,,,,
A_gated,"A · GATED (full weekly gate, EMA exit)",,SURYODAY,2026-07-20,2026-07-23,14:10,196.52,196.52,508,99832.16,193.5,193.4613,195.0,cross,69.9625905241743,3.065857559992203,2026-07-23,14:15,193.4613,SL,,1,-1553.819600000008,217.92155044000003,-1771.741150440008,-1.7764319153266948,-1.0,0.0101770812130919,-2.0150620801954067,,,,,,
A_gated,"A · GATED (full weekly gate, EMA exit)",,TATVA,2026-07-20,2026-07-20,09:15,1621.8,1621.8,61,98929.8,1520.0,1519.696,1494.4,cross,71.0955298060766,33.925303925788505,2026-07-20,10:30,1630.3,EMA9,,15,518.5,218.21591,300.28409,0.304109014675056,0.0832484525581761,5.666543346898512,-0.4192872117400381,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,TINNARUBR,2026-07-20,2026-07-20,09:45,1029.5,1029.5,97,99861.5,1022.15,1021.94557,1028.15,cross,68.58871065413177,33.785874716098135,2026-07-20,09:55,1021.94557,SL,,2,-732.7797100000024,218.889242319,-951.6689523190024,-0.9537960174842228,-1.0,0.5342399222923788,-1.889266634288489,,,,,,
A_gated,"A · GATED (full weekly gate, EMA exit)",,TIPSMUSIC,2026-07-20,2026-07-20,10:05,727.25,727.25,137,99633.25,722.0,721.8556,726.75,cross,63.5711442156448,6.932849550146059,2026-07-20,10:15,721.8556,SL,,2,-739.0328000000026,218.38021392,-957.4130139200024,-0.9617531797868748,-1.0,0.1993812306634534,-1.5950498453076722,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,TIPSMUSIC,2026-07-20,2026-07-20,09:40,727.0,727.0,137,99599.0,716.1,715.9567800000001,726.75,cross,63.54807054611457,6.916895134191602,2026-07-20,09:50,727.3634999999999,BE,,2,49.79949999999053,219.17257945,-169.37307945000947,-0.1700000000000055,0.0329161241014789,1.925722145804687,-1.6093535075653476,,,,,,
B_mover,"B · MOVER (raw cross + volume surge, run the move)",,TMB,2026-07-27,2026-07-27,14:15,865.65,865.65,115,99549.75,837.6,837.43248,847.0,cross,72.06418194657233,7.276426159305906,2026-07-27,15:15,892.35,EOD,intraday square-off at 15:15,12,3070.500000000005,222.387,2848.1130000000053,2.864387454513959,0.9462206458965962,3.817940276093124,-0.017328019407381,,,,,,
A_gated,"A · GATED (full weekly gate, EMA exit)",,VIMTALABS,2026-07-20,2026-07-21,13:35,610.9,610.9,163,99576.7,602.0,601.8796,610.0,cross,61.65856078303906,17.020667417919924,2026-07-21,14:00,601.8796,SL,,5,-1470.3251999999993,217.45138228,-1687.7765822799993,-1.6965755442789352,-1.0,1.4896055000818589,-1.88246848911442,,,,,,
