security_id,symbol,name,exchange_segment,series,type
25,ADANIENT,ADANI ENTERPRISES LIMITED,NSE_EQ,EQ,ES
3563,ADANIGREEN,ADANI GREEN ENERGY LTD,NSE_EQ,EQ,ES
15083,ADANIPORTS,ADANI PORT & SEZ LTD,NSE_EQ,EQ,ES
17388,ADANIPOWER,ADANI POWER LTD,NSE_EQ,EQ,ES
764563,ADDIND,ADDI INDUSTRIES LTD.,NSE_EQ,EQ,ES
19761,ADFFOODS,ADF FOODS LIMITED,NSE_EQ,EQ,ES
245,ADL,ARCHIDPLY DECOR LIMITED,NSE_EQ,EQ,ES
34,ADOR,ADOR WELDING LTD,NSE_EQ,EQ,ES
4953,ADROITINFO,ADROIT INFOTECH LIMITED,NSE_EQ,EQ,ES
14813,ADSL,ALLIED DIGITAL SERV. LTD,NSE_EQ,EQ,ES
760657,ADVAIT,ADVAIT ENRGY TRANSITION L,NSE_EQ,EQ,ES
759402,ADVANCE,ADVANCE AGROLIFE LIMITED,NSE_EQ,EQ,ES
14745,ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,NSE_EQ,EQ,ES
759769,ADVENTHTL,ADVENT HOTELS INTERNATI L,NSE_EQ,EQ,ES
18039,ADVENZYMES,ADVANCED ENZYME TECH LTD,NSE_EQ,EQ,ES
765015,ADVIKCA,ADVIK CAPITAL LTD.,NSE_EQ,EQ,ES
40,AEGISLOG,AEGIS LOGISTICS LIMITED,NSE_EQ,EQ,ES
757336,AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,NSE_EQ,EQ,ES
761330,AEPL,ARTEMIS ELECTRICALS & P L,NSE_EQ,EQ,ES
760234,AEQUS,AEQUS LIMITED,NSE_EQ,EQ,ES
12015,AEROENTER,AEROFLEX ENTERPRISES LTD,NSE_EQ,EQ,ES
18268,AEROFLEX,AEROFLEX INDUSTRIES LTD,NSE_EQ,EQ,ES
13689,AERONEU,AEROFLEX NEU LIMITED,NSE_EQ,EQ,ES
761670,AEROPLANE,AMIR CHAND JAG KUM (E) L,NSE_EQ,EQ,ES
9810,AETHER,AETHER INDUSTRIES LIMITED,NSE_EQ,EQ,ES
25977,AFCONS,AFCONS INFRASTRUCTURE LTD,NSE_EQ,EQ,ES
11343,AFFLE,AFFLE 3I LIMITED,NSE_EQ,EQ,ES
25857,AFFORDABLE,AFFORD ROBO & AUTO LTD,NSE_EQ,BE,ES
24159,AFIL,AKME FINTRADE (INDIA) LTD,NSE_EQ,EQ,ES
13288,AFSL,ABANS FINANCIAL SRVCS LTD,NSE_EQ,EQ,ES
3389,AGARIND,AGARWAL INDS CORP LTD.,NSE_EQ,EQ,ES
29452,AGARWALEYE,DR AGARWALS HEALTH CARE L,NSE_EQ,EQ,ES
1412,AGI,AGI GREENPAC LIMITED,NSE_EQ,EQ,ES
24445,AGIIL,AGI INFRA LIMITED,NSE_EQ,EQ,ES
763784,AGL,ALLCARGO GLOBAL LIMITED,NSE_EQ,EQ,ES
11072,AGRITECH,AGRI-TECH (INDIA) LIMITED,NSE_EQ,EQ,ES
9046,AGROPHOS,AGRO PHOS INDIA LIMITED,NSE_EQ,EQ,ES
758968,AHCL,ANLON HEALTHCARE LIMITED,NSE_EQ,EQ,ES
2004,AHLADA,AHLADA ENGINEERS LIMITED,NSE_EQ,EQ,ES
19438,AHLEAST,ASIAN HOTELS (EAST) LTD,NSE_EQ,EQ,ES
17833,AHLUCONT,AHLUWALIA CONT IND LTD,NSE_EQ,EQ,ES
19370,AHLWEST,ASIAN HOTELS (WEST) LTD,NSE_EQ,BE,ES
13086,AIAENG,AIA ENGINEERING LIMITED,NSE_EQ,EQ,ES
23553,AIIL,AUTHUM INVEST & INFRA LTD,NSE_EQ,EQ,ES
9897,AIRAN,AIRAN LIMITED,NSE_EQ,EQ,ES
6068,AIROLAM,AIRO LAM LIMITED,NSE_EQ,EQ,ES
8124,AJANTPHARM,AJANTA PHARMA LIMITED,NSE_EQ,EQ,ES
29624,AJAXENGG,AJAX ENGINEERING LIMITED,NSE_EQ,EQ,ES
17307,AJMERA,AJMERA REALTY & INF I LTD,NSE_EQ,EQ,ES
3403,AJOONI,AJOONI BIOTECH LIMITED,NSE_EQ,EQ,ES
13510,AKASH,AKASH INFRA-PROJECTS LTD,NSE_EQ,EQ,ES
762538,AKCAPIT,A K CAPITAL SERVICES LTD.,NSE_EQ,EQ,ES
2176,AKG,AKG EXIM LIMITED,NSE_EQ,EQ,ES
14890,AKI,AKI INDIA LIMITED,NSE_EQ,EQ,ES
9558,AKSHAR,AKSHAR SPINTEX LIMITED,NSE_EQ,EQ,ES
20194,AKSHARCHEM,AKSHARCHEM INDIA LIMITED,NSE_EQ,BE,ES
8595,AKSHOPTFBR,AKSH OPTIFIBRE  LTD,NSE_EQ,BE,ES
24715,AKUMS,AKUMS DRUGS AND PHARMA L,NSE_EQ,EQ,ES
9921,ALANKIT,ALANKIT LIMITED,NSE_EQ,EQ,ES
17256,ALBERTDAVD,ALBERT DAVID LIMITED,NSE_EQ,EQ,ES
79,ALEMBICLTD,ALEMBIC LIMITED,NSE_EQ,EQ,ES
764573,ALFREDHE,ALFRED HERBERT INDIA L,NSE_EQ,EQ,ES
761270,ALGOQUANT,ALGOQUANT FINTECH LIMITED,NSE_EQ,EQ,ES
13656,ALICON,ALICON CASTALLOY LIMITED,NSE_EQ,EQ,ES
5265,ALIVUS,ALIVUS LIFE SCIENCES LTD,NSE_EQ,EQ,ES
16963,ALKALI,ALKALI METALS LTD,NSE_EQ,BE,ES
11703,ALKEM,ALKEM LABORATORIES LTD.,NSE_EQ,EQ,ES
4487,ALKYLAMINE,ALKYL AMINES CHEM. LTD,NSE_EQ,EQ,ES
13501,ALLCARGO,ALLCARGO LOGISTICS LTD,NSE_EQ,EQ,ES
11798,ALLDIGI,ALLDIGI TECH LIMITED,NSE_EQ,EQ,ES
758448,ALLTIME,ALL TIME PLASTICS LIMITED,NSE_EQ,EQ,ES
16719,ALMONDZ,ALMONDZ GLOBAL SEC LTD,NSE_EQ,EQ,ES
17675,ALOKINDS,ALOK INDUSTRIES LIMITED,NSE_EQ,EQ,ES
14848,ALPA,ALPA LABORATORIES LTD,NSE_EQ,EQ,ES
14601,ALPHAGEO,ALPHAGEO (INDIA) LIMITED,NSE_EQ,BE,ES
764186,ALPINETEX,ALPINE TEXWORLD LIMITED,NSE_EQ,EQ,ES
764578,ALUFLUOR,ALUFLUORIDE LTD.,NSE_EQ,EQ,ES
760740,AMAGI,AMAGI MEDIA LABS LIMITED,NSE_EQ,EQ,ES
764583,AMAL,AMAL LTD.,NSE_EQ,EQ,ES
758910,AMANTA,AMANTA HEALTHCARE LIMITED,NSE_EQ,BE,ES
764588,AMARJOTHI,AMARJOTHI SPINNING MILL L,NSE_EQ,EQ,ES
762546,AMBALALSA,AMBALAL SARABHAI ENT L,NSE_EQ,BE,ES
1185,AMBER,AMBER ENTERPRISES (I) LTD,NSE_EQ,EQ,ES
11496,AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,NSE_EQ,EQ,ES
15234,AMBIKCO,AMBIKA COTTON MILL LTD.,NSE_EQ,EQ,ES
1270,AMBUJACEM,AMBUJA CEMENTS LTD,NSE_EQ,EQ,ES
14398,AMDIND,AMD INDUSTRIES LIMITED,NSE_EQ,EQ,ES
2598,AMJLAND,AMJ LAND HOLDINGS LIMITED,NSE_EQ,EQ,ES
19867,AMNPLST,AMINES & PLASTICIZERS LTD,NSE_EQ,EQ,ES
17547,AMRUTANJAN,AMRUTAJAN HEALTH LTD,NSE_EQ,EQ,ES
7145,ANANDRATHI,ANAND RATHI WEALTH LTD,NSE_EQ,EQ,ES
13620,ANANTRAJ,ANANT RAJ LIMITED,NSE_EQ,EQ,ES
166,ANDHRAPAP,ANDHRA PAPER LIMITED,NSE_EQ,EQ,ES
136,ANDHRSUGAR,ANDHRA SUGARS LTD,NSE_EQ,EQ,ES
5206,ANDREWYU,ANDREW YULE & CO. LTD.,NSE_EQ,EQ,ES
324,ANGELONE,ANGEL ONE LIMITED,NSE_EQ,EQ,ES
16657,ANIKINDS,ANIK INDUSTRIES LTD,NSE_EQ,EQ,ES
3727,ANMOL,ANMOL INDIA LIMITED,NSE_EQ,EQ,ES
764471,ANNAPURNA,ANNAPURNA SWADISHT LTD,NSE_EQ,EQ,ES
