symbol,ltp,level,which,level_c,level_d,mcap_cr,level_52,pct,gap,score,max_score,failing,eligible,bucket,px,atr_pct,turnover_cr,ret_12m,ret_3m,ret_1m,dist_50dma,dist_200dma,dma200_slope,base_tight,base_depth_pct,spike_level,screened_ok,pre_score,pre_passed,pre_max,btst_ready,gate_failed,brk_score
UGARSUGAR,46.49,46.5,C+D,46.5,46.5,527.32,48.85,-0.021505376344081745,0.021505376344081745,5,8,"c04,c11,c12",False,OTHER,,,,,,,,,,,,,,,,,,,
LALPATHLAB,1954.0,1955.1,C,1955.1,1919.8,32669.25,1955.1,-0.05626310674645334,0.05626310674645334,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
PIDILITIND,1685.0,1686.4,C,1686.4,1637.9,171468.78,1686.4,-0.08301707779886687,0.08301707779886687,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
SYRMA,1516.4,1517.7,C+D,1517.7,1517.7,29250.92,1517.7,-0.08565592673123505,0.08565592673123505,8,8,,True,FIRED,1516.4,3.9426095835089914,214.6794113795508,110.37736205338935,47.409358605737914,5.916047476204533,12.107689178295233,56.99949126932644,6.615514865559291,3.9879205822232366,-53.870990605130295,4.246575342465753,True,,,,,,3.0
TATATECH,879.15,880.0,C,880.0,784.0,35686.96,880.0,-0.09659090909091167,0.09659090909091167,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
LAURUSLABS,1854.0,1856.6,C,1856.6,1826.6,100353.18,1856.6,-0.14004093504254603,0.14004093504254603,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
IGPL,482.6,483.3,D,532.45,483.3,1515.11,532.45,-0.14483757500517042,0.14483757500517042,7,8,c03,False,OTHER,,,,,,,,,,,,,,,,,,,
CHOICEIN,844.75,846.0,C+D,846.0,846.0,16592.39,860.5,-0.14775413711583923,0.14775413711583923,8,8,,True,FIRED,844.75,1.7236717255408933,46.93492909532654,12.288982281955496,27.394062901834726,1.1676646706586746,11.404468250324928,13.119900153992203,0.15198343601292574,2.660974342927799,-32.77777633486628,0.9681088852428799,True,,,,,,0.0
MUFIN,137.79,138.0,D,138.4,138.0,2414.74,138.4,-0.15217391304348402,0.15217391304348402,8,8,,True,SCREENED,137.79,2.7614476161590282,14.441811042631036,55.361366791067624,21.17667848861633,6.204712629875808,7.363420182423508,18.438051454998906,3.7139425261394576,3.2453133600140074,-31.159420289855078,1.0218933550980802,True,4.0,"ret12m>=40,200slope>=2,depth>=-45,px<=500",8.0,False,atr<3%,
MANORAMA,1674.0,1676.7,D,1706.9,1676.7,10024.58,1706.9,-0.16103059581320722,0.16103059581320722,8,8,,True,SCREENED,1674.0,2.903652500426694,19.54389002873291,19.179839747731787,23.834882344559016,2.869781218620693,6.3755425216214245,18.76783700638378,1.1467589980821202,3.7206953269076615,-33.18422801764627,1.9653539076500914,True,1.0,depth>=-45,8.0,False,atr<3%,
