pre,close,day_ret,close_pos,rvol,partial_frac,vol_today,vma50,vma_bars,range_pct,gap_pct,atr_pct,turnover_cr,ret_12m,dist_200dma,base_from_high,ret_3m_prior,ext_pct,age,fresh,tier,reject,symbol,level,mcap_cr,conviction,conv_why,rank
5,7380.0,1.4223871366728424,0.41353383458646614,1.1272333970109,1.0,35310.0,31324.48,50,4.505420054200542,0.9573361082205967,3.1925087108013934,14.378626507499998,42.278773857721234,41.271056529517594,-3.6237213344922137,67.33221105613087,-1.3171090459316748,0.0,True,,no tier,VADILALIND,7478.5,5344.39,,,
6,2438.39990234375,6.447808718741821,0.7379347831054403,3.0700295865738987,1.0,290623.0,94664.56,50,14.021490062863414,2.1858411503459463,5.901117993840472,19.379488566723023,56.99201513005456,59.78157869010814,-9.78711258922299,37.68810176200075,-1.87130659810254,0.0,True,,no tier,VINDHYATEL,2484.9,2921.28,,,
2,898.75,2.784763827317427,0.5810664877896513,3.930167957644616,1.0,1064015.0,270730.16,50,5.112657825538943,0.4480211848434834,2.5150001202997716,21.801543368920594,27.826771612531353,20.201390175910248,-2.180022910645052,3.9837513723158358,0.9944937633441953,,,,not tradeable,YATHARTH,889.9,8761.8,,,
3,823.0,6.723720929054533,1.0,13.890778257161767,1.0,3125449.0,225001.72,50,7.290400972053463,12.437129381721013,3.5371472822711443,22.05787275084869,-5.3315669048817576,15.009067501819073,-27.507663747567722,-3.767368620907796,1.1056511056511065,0.0,True,B,,AARTIPHARM,814.0,7461.55,2.0,"['day>=+6%', 'trend not exhausted']",2.0
7,266.9200134277344,4.674515069699758,1.0,3.0814860874152212,1.0,288226.0,93534.74,50,8.099809808224718,0.3107640396792233,4.819261137333585,1.8792773505467224,56.413725739508095,67.6002114769565,-1.4689896457879104,38.958130163624524,3.4573695456334708,,,,not tradeable,BIRLACABLE,258.0,756.25,,,
1,43505.0,1.3039934800326058,1.0,1.0073613817176092,1.0,40473.0,40177.24,50,2.034248936903804,-0.011641443539001095,2.4537409493161704,117.598883375,5.812963638574731,17.376307010337367,-1.6036655211912998,17.63900301287318,-0.33218785796105266,,,,not tradeable,BOSCHLTD,43650.0,126565.07,,,
6,602.7999877929688,5.439911653294693,0.9735094901806801,1.549617143886161,1.0,3378075.0,2179941.68,50,8.767424965384215,-0.6516639013730452,5.837640131093382,124.18328380392852,182.06446532943482,99.33601641236515,-8.324039984687248,68.00969192135551,-3.9668650959106766,999.0,False,,no tier,E2E,627.7,12389.52,,,
1,1920.0,2.558625342595322,1.0,0.8962012624299258,1.0,1593119.0,1777635.3,50,3.0208333333333335,0.3161517826831828,3.4668895176478793,303.76432930029233,31.967830626248638,15.43161336312384,-4.4199768926056375,18.518987686217116,-1.6645326504481472,999.0,False,,no tier,CHOLAFIN,1952.5,162640.29,,,
6,59.5,4.385964912280693,0.9765619761313328,3.0442434528075557,1.0,472081.0,155073.34,50,4.302523316455488,0.47593946755217775,5.338535560708658,1.214903339821205,44.31239549020063,65.01512802056916,-0.9082977428186423,69.54572951127867,3.9301310043668103,,,,not tradeable,GULFPETRO,57.25,303.45,,,
1,578.0,2.3189900902421234,1.0,0.6823483350101982,1.0,1945453.0,2851114.16,50,2.7076166806336506,0.08858964889646437,2.032871972318339,116.84064700127931,7.4948831835718766,11.17073508423081,-8.576974692777672,8.96804925423278,-6.37401798007613,,,,not tradeable,JSWENERGY,617.35,99406.5,,,
